"school","source","md5","retrieved","processed","year","B1_men_undergrad_new_full","B1_men_undergrad_first_full","B1_men_undergrad_other_full","B1_men_undergrad_degree_full","B1_men_undergrad_credit_full","B1_men_undergrad_total_full","B1_men_undergrad_new_part","B1_men_undergrad_first_part","B1_men_undergrad_other_part","B1_men_undergrad_degree_part","B1_men_undergrad_credit_part","B1_men_undergrad_total_part","B1_men_grad_new_full","B1_men_grad_other_full","B1_men_grad_credit_full","B1_men_grad_total_full","B1_men_grad_new_part","B1_men_grad_other_part","B1_men_grad_credit_part","B1_men_grad_total_part","B1_men_all_full","B1_men_all_part","B1_women_undergrad_new_full","B1_women_undergrad_first_full","B1_women_undergrad_other_full","B1_women_undergrad_degree_full","B1_women_undergrad_credit_full","B1_women_undergrad_total_full","B1_women_undergrad_new_part","B1_women_undergrad_first_part","B1_women_undergrad_other_part","B1_women_undergrad_degree_part","B1_women_undergrad_credit_part","B1_women_undergrad_total_part","B1_women_grad_new_full","B1_women_grad_other_full","B1_women_grad_credit_full","B1_women_grad_total_full","B1_women_grad_new_part","B1_women_grad_other_part","B1_women_grad_credit_part","B1_women_grad_total_part","B1_women_all_full","B1_women_all_part","B1_other_undergrad_new_full","B1_other_undergrad_first_full","B1_other_undergrad_other_full","B1_other_undergrad_degree_full","B1_other_undergrad_credit_full","B1_other_undergrad_total_full","B1_other_undergrad_new_part","B1_other_undergrad_first_part","B1_other_undergrad_other_part","B1_other_undergrad_degree_part","B1_other_undergrad_credit_part","B1_other_undergrad_total_part","B1_other_grad_new_full","B1_other_grad_other_full","B1_other_grad_credit_full","B1_other_grad_total_full","B1_other_grad_new_part","B1_other_grad_other_part","B1_other_grad_credit_part","B1_other_grad_total_part","B1_other_all_full","B1_other_all_part","B1_undergrad","B1_grad","B1_all","G1_first_year_private","G1_first_year_public_district","G1_first_year_public_state","G1_first_year_public_out_state","G1_first_year_non_resident","G1_first_year_fees","G1_first_year_food_room","G1_first_year_room","G1_first_year_food","G1_first_year_total","G1_undergraduate_private","G1_undergraduate_public_district","G1_undergraduate_public_state","G1_undergraduate_public_out_state","G1_undergraduate_non_resident","G1_undergraduate_fees","G1_undergraduate_food_room","G1_undergraduate_room","G1_undergraduate_food","G1_undergraduate_total","G1_total","G5_resident_book_supplies","G5_resident_room","G5_resident_food","G5_resident_room_food","G5_resident_transport","G5_resident_other","G5_commuter_home_book_supplies","G5_commuter_home_room","G5_commuter_home_food","G5_commuter_home_room_food","G5_commuter_home_transport","G5_commuter_home_other","G5_commuter_not_home_book_supplies","G5_commuter_not_home_room","G5_commuter_not_home_food","G5_commuter_not_home_room_food","G5_commuter_not_home_transport","G5_commuter_not_home_other","H1_need_scholarship_federal","H1_need_scholarship_state","H1_need_scholarship_institutional","H1_need_scholarship_external","H1_need_scholarship_total","H1_need_self_loan","H1_need_self_federal","H1_need_self_other","H1_need_self_total","H1_need_parent_loan","H1_need_waiver","H1_need_athletic","H1_non_need_scholarship_federal","H1_non_need_scholarship_state","H1_non_need_scholarship_institutional","H1_non_need_scholarship_external","H1_non_need_scholarship_total","H1_non_need_self_loan","H1_non_need_self_federal","H1_non_need_self_other","H1_non_need_self_total","H1_non_need_parent_loan","H1_non_need_waiver","H1_non_need_athletic"
"Belmont University","https://www.belmont.edu/irsa/facts-figures/cds_2023_2024_august_14_241.pdf","e0b34719064effc7e159fa7b63be961b","Mon Oct 14 17:46:21 2024","Fri Oct 25 02:13:18 2024",2023,NA,NA,NA,NA,NA,NA,577,141,1667,2385,NA,2387,175,252,0,427,2,12,0,14,NA,NA,1,6,108,115,NA,125,1085,180,3385,4650,NA,4655,445,618,0,1063,4,21,3,28,NA,NA,6,9,141,156,NA,163,NA,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,7330,1532,NA,40560,NA,NA,NA,NA,1980,15010,8170,6840,NA,40560,NA,NA,NA,NA,1980,15010,8170,6840,NA,NA,1500,NA,NA,NA,2720,3030,1500,NA,NA,NA,2720,3030,1500,NA,NA,21060,2720,3030,8990124,8516850,NA,0,111663816,25765564,1915626,0,27681190,20139727,NA,2295512,6973,1767150,NA,0,21644292,6736643,NA,0,6736643,6171774,NA,3943534
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2022-2023.pdf","9c50a1efe1763f7be1403b76eeebd284","Mon Oct 14 17:50:06 2024","Fri Oct 25 02:13:18 2024",2022,NA,NA,NA,NA,NA,NA,1303,202,3235,4740,8,4748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,607,138,1602,2347,5,2352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7376,1526,8902,39400,NA,NA,NA,NA,1920,14290,7780,6510,NA,39400,NA,NA,NA,NA,1920,14290,7780,6510,NA,NA,1400,NA,NA,NA,2630,2930,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7649168,7367400,NA,0,103965607,23928106,2321204,0,26249310,21832793,3121047,1639256,6895,1592400,NA,0,20401809,6975077,NA,0,6975077,6766620,1922950,4298354
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2019-2020.pdf","914222425481d3656b829628161ac159","Mon Oct 14 17:50:06 2024","Fri Oct 25 02:13:18 2024",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6808,1620,8428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5669743,4411151,50995775,0,61076669,23935104,2871588,0,26806692,29859360,2307795,1854041,0,1306700,16935475,0,18242175,5280057,NA,0,5280057,6807078,1464972,3843913
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2017-2018.pdf","76206f7ed53ea19e04b45b18c2823a3c","Mon Oct 14 17:50:07 2024","Fri Oct 25 02:13:18 2024",2017,NA,NA,NA,NA,NA,NA,1051,127,2815,3993,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,81,1544,2139,13,NA,2,5,120,127,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6497,1515,8012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5026883,3916721,36201686,0,45145290,14463487,2717633,0,17181120,25451406,0,1946029,0,1156250,11372048,0,12528298,4500,NA,0,4500,5926100,3134620,3333779
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2016-2017.pdf","44d12621447294fd33da343ae97585d9","Mon Oct 14 17:50:07 2024","Fri Oct 25 02:13:18 2024",2016,519,82,1562,2163,4,2167,1049,138,2575,3762,22,3784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,115,123,15,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6293,1430,7723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31300,NA,NA,NA,NA,1520,NA,6440,5240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4860544,3759948,31538186,0,40158678,8568429,2617805,0,11186234,24018849,0,1819009,0,1125900,9848328,0,10974228,15512,NA,0,15512,5324663,2915464,3170758
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2015-2016.pdf","de6bf09c060dddcf552489598cae33b7","Mon Oct 14 17:50:07 2024","Fri Oct 25 02:13:19 2024",2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5983,1367,7350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4407596,3869998,23683916,0,31961510,9406992,1665139,0,11072131,20928507,0,1684778,0,1241100,7231901,0,8473001,0,NA,0,0,4445547,2464670,2850372
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2014-2015.pdf","b542b47abbee646496a875c78c774a13","Mon Oct 14 17:50:08 2024","Fri Oct 25 02:13:19 2024",2014,491,71,1525,2087,8,2095,901,90,2342,3333,12,3345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12,130,142,18,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5837,1407,7244,28600,NA,NA,NA,28600,1400,10970,6050,4920,NA,28600,NA,NA,NA,28600,1400,10970,6050,4920,NA,NA,NA,NA,NA,NA,2250,2500,NA,NA,NA,NA,2350,2500,NA,NA,NA,NA,2250,2500,4448935,3831450,19723433,0,28003818,9756198,1037357,0,10793555,19138290,0,1627591,8947,1307150,5949172,0,7265269,NA,NA,0,0,3270856,1983513,2645556
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2013-2014.pdf","9e3b5979f4295976deaa27ad4acaabe7","Mon Oct 14 17:50:08 2024","Fri Oct 25 02:13:19 2024",2013,NA,NA,NA,NA,NA,NA,763,101,2179,3043,8,3051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,72,1512,2064,2,2066,0,8,127,135,15,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5506,1409,6915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27320,NA,NA,NA,NA,1340,10530,5850,4680,NA,NA,NA,NA,NA,NA,2250,2500,NA,NA,NA,NA,2250,2500,NA,NA,NA,NA,2250,2500,4034376,3846300,18412361,0,26293037,10132539,955879,0,11088418,17901110,0,NA,3760,1334650,5156324,0,6494734,NA,NA,0,0,3270458,2110858,4041932
"Belmont University","https://www.belmont.edu/irsa/facts-figures/../_files/data-sets/cds-2012-2013.pdf","686eb70bde5fcfa72da76446bfeaf380","Mon Oct 14 17:50:08 2024","Fri Oct 25 02:13:19 2024",2012,502,70,1443,2015,10,2025,0,12,114,126,19,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,752,94,2027,2873,8,2881,0,56,167,223,15,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5289,1376,6665,26100,NA,NA,NA,26100,1280,10000,5650,4350,NA,26100,NA,NA,NA,26100,1280,10000,5650,4350,NA,NA,NA,NA,NA,NA,1950,2300,NA,NA,NA,NA,1950,2300,NA,NA,NA,NA,1950,2300,3711841,385000,10129600,1034127,15260568,7559544,773000,0,8332544,0,0,0,0,4586950,10910832,0,15497782,3578599,0,0,3578599,10117297,1737222,4031061
"Brandeis University","https://www.brandeis.edu/institutional-research/common-data-set/../docs/cds-2022-23.pdf","46893dbdf64e4357f56bd32b68c060a4","Wed Oct  9 07:42:49 2024","Fri Oct 25 02:13:19 2024",2022,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1568,NA,NA,NA,NA,NA,2103,NA,NA,226,430,NA,665,286,509,NA,805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3687,1894,5581,61724,NA,NA,NA,NA,998,17092,9746,7346,NA,61724,NA,NA,NA,NA,598,17092,9746,7346,NA,NA,NA,NA,NA,NA,NA,1500,NA,NA,1350,NA,NA,NA,NA,8634,3440,NA,NA,NA,3841658,748182,63279801,1769054,69638695,5863633,2594291,681289,9139213,1582750,292900,0,68,1360,11958551,2485742,14445721,3342505,NA,469037,3811542,3583888,793972,0
