school,url,school_type
Belmont University,https://www.belmont.edu/irsa/facts-figures/common-data-set.html,private
Brandeis University,https://www.brandeis.edu/institutional-research/common-data-set/index.html,private
Brown University,https://oir.brown.edu/institutional-data/common-data-set,private
Case Western Reserve University,https://case.edu/ir/common-data-set-0,private
Colorado State University,https://www.ir.colostate.edu/common-data-set/,public
Cornell University,https://irp.dpb.cornell.edu/common-data-set,private
DeSales University,https://www.desales.edu/about/offices-departments/office-of-institutional-research,private
Drexel University,https://drexel.edu/institutionalresearch/university-data/common_data/,private
East Tennessee State University,https://www.etsu.edu/provost/pds/ir/external_gov/cds.php,public
Harvard University,https://oira.harvard.edu/common-data-set/,private
Kalamazoo College,https://ir.kzoo.edu/data/data-sets/,private
Kennesaw State University,https://ir.kennesaw.edu/publications/common-data-sets.php,public
Lafayette College,https://oir.lafayette.edu/cds/,private
New York University,https://www.nyu.edu/employees/resources-and-services/administrative-services/institutional-research/self-service-reporting-resources/factbook.html,private
Northern Arizona University,https://in.nau.edu/Institutional-Research/Common-Data-Set/,public
Northwestern University,https://enrollment.northwestern.edu/data/common-data-set.html,private
Princeton University,https://ir.princeton.edu/other-university-data/common-data-set,private
Purdue University,https://www.purdue.edu/idata/products-services/common-data-set.php,public
San Jose State University,https://www.sjsu.edu/irsa/common-data-set/index.php,public
Stanford University,https://ucomm.stanford.edu/cds/,private
University of Arizona,https://uair.arizona.edu/CommonDataSet,public
University of Central Florida,https://analytics.ucf.edu/institutional-research/common-data-set/,public
University of Cincinnati,https://www.uc.edu/about/provost/colleges-and-offices/offices/institutional-research/facts-dashboards.html.html,public
University of Connecticut,https://bpir.uconn.edu/home/institutional-research/data-resources/common-data-set/,private
University of Delaware,https://ire.udel.edu/common-data-set/,public
University of Detroit Mercy,https://www.udmercy.edu/academics/academic-affairs/research/data.php,private
University of North Alabama,https://www.una.edu/research/Institutional%20Data/common-data-set.html,public
University of Rhode Island,https://web.uri.edu/ir/data/common/,public
University of Washington,https://www.washington.edu/opb/uw-data/external-reporting/common-data-set/,public
Washington University in St. Louis,https://washu.edu/policies/student-consumer-information/,private
Western Washington University,https://oie.wwu.edu/common-data-set/,public
Yale University,https://oir.yale.edu/common-data-set,private
